"","gene_ensembl","gene_symbol","cell_type","DX","baseMean","log2fc","lfcSE","stat","pvalue","padj"
"150","ENSG00000174740","PABPC5","SST","MDD",15.6388459527915,-23.8070290098305,2.55900329053988,-9.30324282811216,1.36226135836379e-20,4.84045517160613e-17
"151","ENSG00000175485","OR52W1","SST","MDD",3.89457176726711,-25.7011828826851,4.13626127153512,-6.2136265568027,5.17754949959802e-10,4.90590073585245e-07
"152","ENSG00000180878","C11orf42","SST","MDD",21.09400886183,-9.07832492774016,2.31415175965878,-3.92296006078649,8.74676554925153e-05,0.0478145302890431
"153","ENSG00000203859","HSD3B2","SST","MDD",13.1628267413052,-22.5721046540229,2.94875100466738,-7.65480185281668,1.93610534042352e-14,2.75178652034395e-11
"154","ENSG00000241489","","SST","MDD",34.9677441989761,-8.43726610151459,1.92851400320034,-4.37500899008929,1.21427473715968e-05,0.00821832706630975
"155","ENSG00000259823","LYPD8","SST","MDD",2.7301663067385,26.387355445012,4.14155495569362,6.37136431299453,1.87354004376982e-10,1.90204461729289e-07
"156","ENSG00000284299","","SST","MDD",6.04311508794603,-21.5172581902788,3.18927784416536,-6.74674934002494,1.51194139134844e-11,1.65301715347964e-08
"157","ENSG00000075643","MOCOS","SST","BD",18.8408833199442,9.48646065655836,2.04885883418984,4.63011921478207,3.65455264436392e-06,0.00371015405245318
"158","ENSG00000076716","GPC4","SST","BD",29.2739614671417,-8.99756719302642,1.99666638889623,-4.50629471356021,6.59694467345463e-06,0.00586014841523817
"159","ENSG00000112273","HDGFL1","SST","BD",7.89736387115837,-20.2478504581106,4.13316243549591,-4.89887604808863,9.63864226157195e-07,0.00114161685386435
"160","ENSG00000114654","EFCC1","SST","BD",21.1822811695132,-23.9481269692924,2.32155512969611,-10.3155538556722,5.99347325406108e-25,4.2592617679985e-21
"161","ENSG00000118194","TNNT2","SST","BD",26.8662083998511,-8.07650589215105,1.97641671792021,-4.08643876512539,4.3804502988791e-05,0.0296473048085565
"162","ENSG00000126259","KIRREL2","SST","BD",16.9960789455777,24.4806600982349,2.84973629672927,8.59050015481506,8.65915535371872e-18,2.05120958404007e-14
"163","ENSG00000132854","KANK4","SST","BD",20.3339484448801,21.9885006624299,2.40208891363032,9.15390789144368,5.4910388615989e-20,1.95110338349763e-16
"164","ENSG00000134443","GRP","SST","BD",2.63740542796148,23.7793322876755,4.1181625513253,5.77425781311689,7.72930140392913e-09,9.98696007764043e-06
"165","ENSG00000137252","HCRTR2","SST","BD",7.85228086018981,-24.1145533820281,3.49529404462971,-6.89914870512212,5.23150868064251e-12,7.4355432877972e-09
"166","ENSG00000143228","NUF2","SST","BD",17.9607932776719,22.3663319131363,2.56223155725697,8.72923910791297,2.56391660065183e-18,7.2881893290129e-15
"167","ENSG00000143816","WNT9A","SST","BD",11.2746686556837,22.5355656902924,3.12297826148315,7.21604948975529,5.35195864599568e-13,9.50842352944207e-10
