"","gene_ensembl","gene_symbol","cell_type","DX","log2fc","AveExpr","t","pvalue","padj","B"
"16","ENSG00000158113","LRRC43","PVALB","SCZ",-4.84288697154778,-0.764139327337141,-4.41461971354121,3.02916201657821e-05,0.0455129989651788,1.6424070079514
"17","ENSG00000161265","U2AF1L4","PVALB","SCZ",-4.34294384423923,-1.38207352613769,-4.51564174246666,2.07152151420715e-05,0.0455129989651788,1.88377507146256
"18","ENSG00000162669","HFM1","PVALB","SCZ",-4.44486524155303,0.293559482155458,-4.44598538232879,2.69336637413867e-05,0.0455129989651788,1.80834699077619
"19","ENSG00000180921","FAM83H","PVALB","SCZ",-4.61463780968596,-0.837471574366165,-4.54231318675715,1.87236020373798e-05,0.0455129989651788,1.97130369376679
"20","ENSG00000182704","TSKU","PyrL5n6","BD",-5.10545669379227,0.864436732078604,-5.16556741094254,1.33363175010026e-06,0.018954908064175,-1.36273237308676
"21","ENSG00000166501","PRKCB","PyrL5n6","SCZ",-0.311660182505067,10.1389495612158,-5.11521907000411,1.64391798858966e-06,0.0233650063718248,3.72963975137173
"22","ENSG00000115306","SPTBN1","SST","MDD",0.26510837970525,10.8491193368265,12.3924530385917,7.78223796169972e-21,1.10608948149638e-16,32.9363270262267
"23","ENSG00000127603","MACF1","SST","MDD",0.203590136859864,10.9013678999118,6.22957435560339,1.66416724532166e-08,3.94213484295945e-05,4.8180421454181
"24","ENSG00000151914","DST","SST","MDD",0.478556197909011,10.7090114671399,7.49745215309918,5.41809097906199e-11,1.9251831771352e-07,11.2763469564961
"25","ENSG00000153071","DAB2","SST","MDD",-4.74774547521485,0.672878713968765,-4.46144544253089,2.44953369079118e-05,0.0386835803857946,1.04007968340139
"26","ENSG00000160014","CALM3","SST","MDD",-0.366691731287169,10.3945904087822,-5.16833359271329,1.51290546499954e-06,0.0030718464820055,2.2126661748943
"27","ENSG00000167978","SRRM2","SST","MDD",0.235493712637409,11.0719202259123,6.47166772577546,5.70239166082938e-09,1.62096185350736e-05,4.62656066594878
"28","ENSG00000186472","PCLO","SST","MDD",-0.419095732023278,11.0254657262603,-9.46240306874072,5.60456297183947e-15,3.98288267593772e-11,18.3017128853656
"29","ENSG00000197102","DYNC1H1","SST","MDD",-0.325183717080492,10.9551116861178,-8.03381212814255,4.50617125329467e-12,2.13487373410257e-08,12.2295730757993
"30","ENSG00000197694","SPTAN1","SST","MDD",-0.0753656422303042,11.0931199711977,-4.84686767481118,5.50583278122402e-06,0.00978180016494212,-3.51454657584496
"31","ENSG00000127603","MACF1","SST","BD",0.32246880807342,10.9013678999118,5.82224917848289,9.77059133122321e-08,0.00138869414590676,3.65118509286947
"32","ENSG00000082293","COL19A1","SST","SCZ",-1.32274494919013,7.25398352151496,-4.7187501261228,9.10759959469537e-06,0.0258892626078811,3.35078030997793
"33","ENSG00000127603","MACF1","SST","SCZ",0.377348413255394,10.9013678999118,10.0875950892669,3.00981436996798e-16,2.13892458201774e-12,22.7525808692962
"34","ENSG00000131711","MAP1B","SST","SCZ",-0.336697879206204,11.7478327328311,-4.6619438832369,1.13594120463718e-05,0.0269085539025137,-5.06763281517373
"35","ENSG00000140022","STON2","SST","SCZ",5.18880410462369,2.01453110601528,5.26826024956055,1.00458848208366e-06,0.00356955402396376,3.26706744244048
"36","ENSG00000197102","DYNC1H1","SST","SCZ",-0.551647149179205,10.9551116861178,-5.67254880935733,1.85141745128607e-07,0.000877139874504295,2.60567430068067
"37","ENSG00000197694","SPTAN1","SST","SCZ",0.467217125438587,11.0931199711977,27.4534399450388,2.45002547825189e-44,3.48222121223941e-40,85.2538326701081
"38","ENSG00000131018","SYNE1","VIP","BD",0.177273624521879,11.1401640943855,6.57962201690594,2.95566365922357e-09,2.10044237942723e-05,6.82428548008347
"39","ENSG00000167978","SRRM2","VIP","BD",-0.197888972800154,10.8333086666084,-6.30767329129403,1.01083844442844e-08,4.7890156035538e-05,6.48626210074922
"40","ENSG00000169031","COL4A3","VIP","BD",4.71385928143447,2.68293357335013,4.78917311338023,6.48141896831783e-06,0.0184240815593402,1.35091895662926
"41","ENSG00000180008","SOCS4","VIP","BD",4.11755869683718,3.25074739223964,4.83273070097753,5.44867227534894e-06,0.0184240815593402,1.5785572803325
"42","ENSG00000197694","SPTAN1","VIP","BD",0.293887504118077,10.9845214285222,8.20067204679679,1.48679390131063e-12,2.1131801719328e-08,15.0077444951607
